,,,,,
ingredient_name,common_brand_name,drug_class,use_case,pubmed_search_link,risk_category
Moxifloxacin,"Avelox, Avalox, Avelon",Antibiotic,Bacterial infection,link,Known Risk of TdP
Necitumumab,Portrazza,anti-cancer,Cancer (Lung),link,Possible Risk of TdP
Nelfinavir,Viracept,Antiviral,Viral infection (HIV/AIDS),link,Conditional Risk of TdP
Nicardipine,Cardene,Antihypertensive,Hypertension,link,Possible Risk of TdP
"Nifekalant
(Only on Non US Market)",Shinbit,Antiarrhythmic,Arrhythmia,link,Known Risk of TdP
Nilotinib,Tasigna,Anti-cancer,Cancer (leukemia),link,Possible Risk of TdP
"Norfloxacin
(Removed from US Market,
Only on Non US Market)","Noroxin, Ambigram",Antibiotic,Bacterial infection,link,Possible Risk of TdP
Nortriptyline,"Pamelor, Sensoval, Aventyl, Norpress, Allegron, Noritren, Nortrilen","Antidepressant, Tricyclic",Depression,link,Possible Risk of TdP
Nusinersen,Spinraza,Antisense oligonucleotide,Spinal Muscular Atrophy,link,Possible Risk of TdP
Ofloxacin,Floxin,Antibiotic,Bacterial infection,link,Possible Risk of TdP
Olanzapine,"Zyprexa, Zydis, Relprevv","Antipsychotic, atypical","Schizophrenia, bipolar disorder",link,Conditional Risk of TdP
Oliceridine,Olinvyk,analgesia,pain,link,Possible Risk of TdP
Omeprazole,"Losec, Prilosec, Zegerid, Mopral",Proton Pump Inhibitor,"Gastric hyperacidity, GERD",link,Conditional Risk of TdP
Ondansetron,"Zofran, Anset, Ondemet, Zuplenz, Emetron, Ondavell, Emeset, Ondisolv, Setronax",Antiemetic,"Nausea, vomiting",link,Known Risk of TdP
"Opipramol
(Only on Non US Market)","Deprenil, Dinsidon, Ensidon, Insidon, Insomin, Inzeton, Nisidana, Opipram, Opramol, Oprimol, Pramolan, and Sympramol among others",Sigma receptor agonist,Depression,link,Possible Risk of TdP
Osilodrostat,Isturisa,Aldosterone synthase inhibitor,Cushing's Disease,link,Possible Risk of TdP
Osimertinib,Tagrisso,Anti-cancer,Cancer (EGFR pos. NSC Lung cancer),link,Known Risk of TdP
Oxaliplatin,Eloxatin,Anti-cancer,Cancer,link,Known Risk of TdP
Oxytocin,"Pitocin, Syntocinon",Oxytocic,Labor stimulation,link,Possible Risk of TdP
Ozanimod,Zeposia,Immunomodulation,Multiple Sclerosis,link,Possible Risk of TdP
Pacritinib,Vonjo,JAK inhibitor,"Cancer, myelofibrosis",link,Possible Risk of TdP
Paliperidone,"Invega, Xepilon","Antipsychotic, atypical",Schizophrenia,link,Possible Risk of TdP
Palonosetron,Aloxi,Antiemetic,"Nausea, vomiting",link,Possible Risk of TdP
Panobinostat,Farydak,Histone deacetylase inhibitor,"Cancer, Multiple myeloma",link,Possible Risk of TdP
Pantoprazole,"Protonix, Inipomp, Eupantol",Proton Pump Inhibitor,"Gastric hyperacidity, GERD",link,Conditional Risk of TdP
Papaverine HCl (Intra-coronary),"ParaTime SR, others","Vasodilator, Coronary",Diagnostic adjunct,link,Known Risk of TdP
Paroxetine,"Paxil, Aropax, Pexeva, Seroxat, Sereupin, Seroxat, Deroxat","Antidepressant, SSRI",Depression,link,Conditional Risk of TdP
Pasireotide,Signifor,Somatostatin analog,Cushing's Disease,link,Possible Risk of TdP
Pazopanib,Votrient,Anti-cancer,"Cancer (renal cell, sarcoma)",link,Possible Risk of TdP
Pentamidine,Pentam,Antifungal,Fungal infection (Pneumocystis pneumonia),link,Known Risk of TdP
Perphenazine,"Trilafon, Etrafon/Triavil, Decentan",Antipsychotic,Schizophrenia,link,Possible Risk of TdP
"Pilsicainide
(Only on Non US Market)",Sunrythm,Anti-arrhythmic,Arrhythmia,link,Possible Risk of TdP
Pimavanserin,Nuplazid,"Antipsychotic, atypical","Psychosis, Parkinson's Disease",link,Possible Risk of TdP
Pimozide,Orap,Antipsychotic,"Psychosis, Tourette's Disorder",link,Known Risk of TdP
"Pipamperone
(Only on Non US Market)","Dipiperon, Propitan, Dipiperal, Piperonil, Piperonyl",Antipsychotic,Schizophrenia,link,Possible Risk of TdP
Piperacillin/Tazobactam,"Tazosyn, Zosyn",Antibiotic,Bacterial infection,link,Conditional Risk of TdP
Pitolisant (Tiprolisant),Wakix,Histamine 3 antagonist/inverse agonist,Narcolepsy,link,Possible Risk of TdP
Ponesimod,Ponvory,Sphingosine 1-phosphate receptor modulator,Multiple Sclerosis,link,Possible Risk of TdP
Posaconazole,"Noxafil, Posamol",Antifungal,Fungal infection,link,Conditional Risk of TdP
Pralsetinib,Gavreto,Tyrosine kinase inhibitor,cancer (medullary thyroid),link,Possible Risk of TdP
Pretomanid,Dovprela,Antitubercular,"Tuberculosis, extensively drug resistant",link,Possible Risk of TdP
Primaquine phosphate,"Jasoprim, Malirid, Neo-Quipenyl, Pimaquin, Pmq, Primachina, Primacin, Primaquina, Remaquin",Antimalarial,Malaria,link,Possible Risk of TdP
"Probucol
(Removed from US Market)",Lorelco,Antilipemic,Hypercholesterolemia,link,Known Risk of TdP
Procainamide,"Pronestyl, Procan",Antiarrhythmic,Arrhythmia,link,Known Risk of TdP
Promethazine,Phenergan,Antipsychotic / Antiemetic,"Nausea, vomiting",link,Possible Risk of TdP
Propafenone,"Rythmol SR, Rytmonorm",Sodium channel blocker,Arrhythmia,link,Conditional Risk of TdP
Propofol,"Diprivan, Propoven","Anesthetic, general",Anesthesia,link,Known Risk of TdP
"Prothipendyl
(Only on Non US Market)","Dominal, Largophren, Timoval, Timovan, Tumovan",Antipsychotic,Schizophrenia,link,Possible Risk of TdP
Quetiapine,Seroquel,"Antipsychotic, atypical",Schizophrenia,link,Conditional Risk of TdP
Quinidine,"Quinaglute, Duraquin, Quinact, Quinidex, Cin-Quin, Quinora",Antiarrhythmic,Arrhythmia,link,Known Risk of TdP
Quinine sulfate,"Qualaquin, Hexaquine",Antimalarial,"Malaria, leg cramps",link,Conditional Risk of TdP
Quizartinib,Vanflyta,Tyrosine kinase inhibitor,Acute myeloid leukemia,link,Known Risk of TdP
Ranolazine,"Ranexa, Ranozex",Antianginal,Angina Pectoris (heart pain),link,Conditional Risk of TdP
Relugolix,"Orgovyx, Relumina",GnRH antagonist,Cancer (prostate),link,Possible Risk of TdP
Remdesivir,Veklury,Antiviral,COVID-19,link,Possible Risk of TdP
Remimazolam,Byfavo,Sedative,Sedation,link,Possible Risk of TdP
Revumenib,Revuforj,Antineoplastic,Acute leukemia,link,Possible Risk of TdP
Ribociclib,Kisqali,Anti-cancer,Cancer (breast),link,Possible Risk of TdP
Rilpivirine,"Edurant, Complera, Eviplera, Juluca",Antiviral,Viral infection (HIV/AIDS),link,Possible Risk of TdP
Risperidone,Risperdal,"Antipsychotic, atypical",Schizophrenia,link,Conditional Risk of TdP
Rivastigmine,Exelon,Cholinesterase inhibitor,Dementia (Alzheimers disease),link,Possible Risk of TdP
Romidepsin,Istodax,Histone deacetylase inhibitor,Cancer (lymphoma),link,Possible Risk of TdP
"Roxithromycin
(Only on Non US Market)","Rulide, Xthrocin, Roxl-150, Roxo, Surlid, Rulide, Biaxsig, Roxar, Roximycinv, Roxomycin, Rulid, Tirabicin, Coroxin",Antibiotic,Bacterial infection,link,Known Risk of TdP
